directorio_hog,ingreso,gasto
19871701,675000,869790.583333333
19871901,1103333.33333333,1089492.66666667
19872001,1700000,1654333.33333333
19872101,629975,1890708
19872201,733333.333333333,655274.083333333
19872301,296666.666666667,472816.666666667
19872401,1034166.66666667,2036533.33333333
19872501,2100000,1258495.16666667
19872601,729833.333333333,430505
19872701,1983333.33333333,1270333.83333333
19872801,834666.666666667,902041.666666667
19872901,1447849.83333333,1514826.41666667
19873001,2059371.66666667,1345902.93333333
19873101,2540916.66666667,2690641.5
19873301,830000,991500.333333333
19873401,1680600,1216196.66666667
19873402,2096941.66666667,1325931.16666667
19873501,816666.666666667,1282666.66666667
19873601,400000,858600
19873701,1050000,1687416.66666667
19873801,1250000,1855083.33333333
19873901,3700000,2346716.66666667
19874001,1133333.33333333,1860433.33333333
19874101,2121000,898441.666666667
19874201,800000,918607.666666667
19874301,288333.333333333,1180996.33333333
19874401,2623500,3271308.33333333
19874501,810000,1336738.91666667
19876101,1570833.33333333,1359854.91666667
19876601,1204166.25,4551166.66666667
19876701,16504333.3333333,3619015.83333333
19876801,3666666.66666667,3327333.33333333
19876901,NA,3208666.66666667
19877201,1750000,2001630.83333333
19877301,6000000,5941214.33333333
19877401,14611500,7553035.66666667
19877501,7133333.33333333,7344161.5
19877601,2025000,3380550
19877701,11500000,7007543.66666667
19877801,2280500,3855395.94444444
19877901,9008333.33333333,4684174.16666667
19878001,3950000,3654829
19878101,4116666.66666667,3488243.77777778
19878201,2000000,2700898.11111111
19878301,5160000,5033164.02777778
19878401,9200000,4779550.66666667
19878501,7800000,9903683.66666667
19878601,1900000,2397842.5
19878701,6133333.33333333,8308407.16666667
19878801,1200000,1911383.16666667
19878901,4958000,5083479.44444444
19879001,3242766.66666667,3236920.66666667
19879101,900000,1170906.66666667
19879201,4012500,2199875.44444444
19879301,3120000,3884709.33333333
19879401,4801666.66666667,3370607.77777778
19879501,2810000,2494371.11111111
19879601,2239000,1772816.19444444
19879701,865500,2703743.5
19879801,920000,1232250
19879901,3600000,2718412.16666667
19880001,536000,1197515.77777778
19880101,4250000,3033504.66666667
19880201,6620000,6771531.66666667
19880401,1200000,3189608
19880501,7500000,3527568.5
19880701,150000,3251793
19880801,4070833.33333333,3350186.44444444
19880901,13718333.3333333,3430004.33333333
19881001,7354000,6564956.66666667
19881101,7583333.33333333,3823098.16666667
19881201,1716666.66666667,2568444.125
19881301,2416000,3833775.66666667
19881401,609166.583333333,1660333.66666667
19881501,2500000,4121251.25
19881601,866666.666666667,1611351.83333333
19881701,11808333.3333333,6534597.5
19881801,6783333.33333333,5835496.33333333
19881901,2708333.33333333,814392.166666667
19882001,NA,518673.5
19882101,6090000,5226474.41666667
19882201,4249666.66666667,4660370
19882301,500000,1953488.66666667
19882501,653266.666666667,1333012.5
19883201,1182000,1279966.66666667
19883301,500000,3782059.66666667
19884601,751750,1111416.66666667
19885301,1688666.66666667,4099797.41666667
19885501,2900000,2727815.5
19886301,2000833.25,2803239.33333333
19886401,5846666.58333333,6898507.5
19886501,6900000,4282900
19886601,2709999,5697774.83333333
19886701,7600000,5468803.66666667
19886801,1200000,2256578.5
19886901,NA,3575254.5
19887001,4341333.33333333,3211668.5
